IDint ID2M             teff     logg   [Fe/H]  vt     P        S       Sapo      K     Kapo   
b19 2M17552744-3228019 4018.9   1.0    -1.06  2.00    ---      +0.23   +0.59    -0.33  +0.21  
b20 2M18020063-1814495 3988.8   0.80   -1.38  2.04    ---      +0.00   +0.53    +0.15  +0.26  
b21 2M18050452-3249149 3940.8   0.77   -1.16  2.08   +0.90     +0.40   +0.66    +0.25  +0.27  
b22 2M18050663-3005419 3439.9   0.23   -0.92  2.52   +1.00     +0.30   ---      +0.10  ---    
b23 2M18065321-2524392 3893.1   0.95   -0.89  2.02   +1.00     +0.38   +0.24    +0.00  +0.06  
b24 2M18104496-2719514 4153.1   1.33   -0.82  2.05    ---      +0.35   +0.35    +0.10  +0.15  
b25 2M18125718-2732215 3617.2   0.44   -1.31  2.64   +0.75     +0.76   ---       ---  -0.85 
b26 2M18200365-3224168 3976.6   0.95   -0.86  1.94   +0.50     +0.30   +0.58    +0.15  +0.22  
b27 2M18500307-1427291 4076.0   1.23   -0.95  1.73    ---      +0.16   +0.80    +0.00  +0.16  
c1 2M17173248-2518529  3977.0   1.0    -0.91  1.81   +0.50     +0.65   +0.40    +0.07  +0.10  
c2 2M17285088-2855427  3838.0   0.63   -1.23  2.18   +0.00     +0.38   +0.51    +0.20  +0.20  
c3 2M17301495-2337002  3814.0   0.69   -1.06  2.22   +0.50     +0.42   +0.44    -0.08  --- 
c4 2M17453659-2309130  4133.1   1.27   -1.20  1.08   ---       +0.20   +0.39    +0.15  +0.20  
c5 2M17532599-2053304  3896.9   0.91   -0.87  2.10   +1.10     +0.60   +0.54    -0.20  -0.60 
c6 2M18044663-3132174  3832.6   0.92   -0.90  2.22   +1.00     +0.42   +0.33    +0.30  +0.28  
c7 2M18080306-3125381  4310.0   1.57   -0.90  1.48   +0.50     +0.25   +0.23    +0.20  +0.09  
c8 2M18195859-1912513  4102.0   1.05   -1.24  1.78   +0.30     +0.50   +0.79    +0.25  +0.32  
c9 2M17190320-2857321  4139.6   1.19   -1.20  1.83    ---      +0.60   +0.31    +0.20  +0.21  
c10 2M17224443-2343053 4058.3   1.02   -0.88  1.97   +1.00     +0.30   +0.53    +0.25  +0.23  
c11 2M17292082-2126433 3983.4   0.78   -1.27  2.59   +0.65     +0.35   +0.24    +0.50  +0.19  
c12 2M17323787-2023013 3865.7   1.03   -0.85  1.94   +1.00     +0.70   +0.70    +0.25  +0.24  
c13 2M17330730-2407378 4042.5   0.25   -1.90  1.88   +0.40     +0.20   -0.30    +0.10  +0.09  
c14 2M18023156-2834451 3617.4   0.42   -1.19  3.02   +1.00     +0.32   ---      +0.10  +0.20  
c15 2M17291778-2602468 3844.3   0.71   -0.99  2.10   +0.70     +0.70   +0.71    +0.15  +0.23  
c16 2M17310874-2956542 4175.7   1.20   -0.93  2.07   +0.65     +0.35   +0.57    +0.17  +0.08  
c17 2M17382504-2424163 3880.4   0.99   -1.05  1.55   +1.00     +0.25   -0.09    +0.07  +0.18  
c18 2M17511568-3249403 3921.2   0.98   -0.90  2.04   +0.90     +0.36   +0.89    +0.25  +0.26  
c19 2M17552681-3334272 4051.0   1.08   -0.89  1.98   +1.00     ---     +0.27    +0.25  +0.18  
c20 2M18005152-2916576 4158.9   1.04   -1.02  2.21   +1.00     +0.55   +0.68    +0.05  +0.15  
c21 2M18010424-3126158 3773.1   0.68   -0.83  2.20   +0.80     +0.32   +0.32    +0.15  +0.17  
c22 2M18042687-2928348 4164.7   0.88   -1.21  2.14    ---      +0.55   +0.55    +0.07  +0.17  
c23 2M18052388-2953056 4252.9   0.92   -1.57  1.92    ---      +0.25   +0.50    +0.22  +0.50  
c24 2M18142265-0904155 3920.5   1.12   -0.85  2.13   +0.70     +0.50   +0.51    +0.27 +0.30  
c25 2M17293482-2741164 4143.5   1.03   -1.25  1.85    ---      +0.30   +0.57    +0.22  +0.22  
c26 2M17341796-3905103 4163.5   1.42   -0.89  1.84   +0.60     +0.55   +0.65    +0.15  +0.09  
c27 2M17342067-3902066 4380.4   1.40   -0.93  1.99   +1.0     +0.25   +0.62    +0.11  -0.02 
c28 2M17503065-2313234 3819.4   0.98   -0.88  2.10    ---      +0.40   +0.35    +0.17  +0.22  
c29 2M18143710-2650147 4240.5   1.30   -0.92  1.97    ---      +0.25   +0.42    +0.25  +0.06  
c30 2M18150516-2708486 3833.4   1.0    -0.83  2.14    ---      +0.40   +0.56    +0.06  +0.19  
c31 2M18344461-2415140 4294.5   1.09   -1.42  1.83    ---      +0.20   +0.28    +0.12  +0.23  
